JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,URL,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE
adzuna_5789986091,AI Machine Learning Engineer,Lockheed Martin - US,us,adzuna,https://www.adzuna.com/land/ad/5789986091?se=XGsnF6aS8RGlDuOngCclFw&utm_medium=api&utm_source=8413080e&v=6A82EF140FA2C53AB820D61A25C1091E305ABC0A,118372.65,118372.65,2026-07-06,2026-08-07
adzuna_5831229552,Data Analyst I,San Jacinto College,us,adzuna,https://www.adzuna.com/land/ad/5831229552?se=-KPM_KWS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=39D1342E4A6814962523CA25B361FF3199ADE4BF,75279.34,75279.34,2026-08-06,2026-08-07
adzuna_5826542905,Data Analyst III,CorVel Career Site,us,adzuna,https://www.adzuna.com/land/ad/5826542905?se=-KPM_KWS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=B0F608A46B82D1FC419E93C72D36EB799547A24D,64602.09,64602.09,2026-08-03,2026-08-07
adzuna_5831229706,Data Analyst II,S3,us,adzuna,https://www.adzuna.com/land/ad/5831229706?se=-KPM_KWS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=00F733296FCC3F61A1C16F81E3551FA13FA96158,83563.14,83563.14,2026-08-06,2026-08-07
adzuna_5829864297,HR Data Analyst,Job Details,us,adzuna,https://www.adzuna.com/land/ad/5829864297?se=-KPM_KWS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=D65E5CE2CC6DECAE94667D232A9E3EBF3BD81CCB,86645.58,86645.58,2026-08-05,2026-08-07
adzuna_5831229529,Sr. Data Analyst,Pinterest,us,adzuna,https://www.adzuna.com/land/ad/5831229529?se=-KPM_KWS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=878469C94E1283345AC8B93ACD4714A33DC7A3ED,134351.17,134351.17,2026-08-06,2026-08-07
adzuna_5210488537,"QA & Testing Analyst, AS",deutsche,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5210488537?utm_medium=api&utm_source=8413080e,50867.57,50867.57,2025-05-22,2026-08-07
adzuna_5831903899,QA Test Analyst SFIA 4,TXP,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5831903899?utm_medium=api&utm_source=8413080e,0.0,111800.0,2026-08-07,2026-08-07
adzuna_5812562795,QA Quality Assurance Analyst,InfoTrack UK,gb,adzuna,https://www.adzuna.co.uk/jobs/details/5812562795?utm_medium=api&utm_source=8413080e,25146.4,25146.4,2026-07-23,2026-08-07
adzuna_5817554720,QA Engineering Specialist,Randstad Technologies,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5817554720?se=IJkLFKGS8RGOZItUbRfjpg&utm_medium=api&utm_source=8413080e&v=ECFEA8FF7F7CE23970E7EF7D166D7BAB5370A0F6,143000.0,156000.0,2026-07-27,2026-08-07
adzuna_5804907441,Software Tester,MCS Group,gb,adzuna,https://www.adzuna.co.uk/jobs/land/ad/5804907441?se=VrCJFqGS8RG9ks23jnlnsA&utm_medium=api&utm_source=8413080e&v=A359347A594C044826F7C4244ACF3431093FEC02,30000.0,30000.0,2026-07-17,2026-08-07
