JOB_ID,TITLE,COMPANY,COUNTRY,SOURCE,SALARY_MIN,SALARY_MAX,POSTED_DATE,COLLECTED_DATE,SKILL_NAME
adzuna_5829671859,SQL Developer,Pearson Carter,gb,adzuna,30000.0,55000.0,2026-08-06,2026-08-07,SQL
adzuna_5796298140,SQL Developer,Reed Technology,gb,adzuna,55000.0,55000.0,2026-07-11,2026-08-07,SQL
adzuna_5820820462,SQL Developer,Delta Capita,gb,adzuna,47763.24,47763.24,2026-07-30,2026-08-07,SQL
adzuna_5830330762,SQL Developer,Reed Technology,gb,adzuna,40000.0,55000.0,2026-08-06,2026-08-07,SQL
adzuna_5800535943,Principal SQL Developer,Prism Digital,gb,adzuna,140000.0,180000.0,2026-07-15,2026-08-07,SQL
adzuna_5830754632,Tableau Developer,Cliff Services Inc,us,adzuna,103947.72,103947.72,2026-08-06,2026-08-07,Tableau
adzuna_5811474424,Tableau Developer,Nsight,us,adzuna,115304.59,115304.59,2026-07-22,2026-08-07,SQL
adzuna_5811474424,Tableau Developer,Nsight,us,adzuna,115304.59,115304.59,2026-07-22,2026-08-07,Tableau
adzuna_5811474424,Tableau Developer,Nsight,us,adzuna,115304.59,115304.59,2026-07-22,2026-08-07,GCP
adzuna_5774196647,Tableau Developer,Software Guidance & Assistance,us,adzuna,82088.3,82088.3,2026-06-23,2026-08-07,Tableau
adzuna_5774198644,Tableau Developer,Software Guidance & Assistance,us,adzuna,101710.73,101710.73,2026-06-23,2026-08-07,Tableau
adzuna_5826943599,Tableau Developer with Security Clearance,NorthHill Technology Resources,us,adzuna,124965.63,124965.63,2026-08-03,2026-08-07,Tableau
adzuna_5820105717,Power BI Developer,Apex 2000,us,adzuna,83088.73,83088.73,2026-07-29,2026-08-07,Power BI
adzuna_5820105717,Power BI Developer,Apex 2000,us,adzuna,83088.73,83088.73,2026-07-29,2026-08-07,SQL
adzuna_5831831609,Senior Power BI Developer,DCS Corp,us,adzuna,90714.2,90714.2,2026-08-07,2026-08-07,Power BI
adzuna_5794497221,Senior Power BI Developer,"ITC Infotech , Inc",us,adzuna,134449.98,134449.98,2026-07-09,2026-08-07,Power BI
adzuna_5714035015,Senior Power BI Developer,Coforge,us,adzuna,106946.69,106946.69,2026-04-29,2026-08-07,Power BI
adzuna_5794497287,Fabric/Power BI Developer,ResolveTech Solutions Inc.,us,adzuna,78778.02,78778.02,2026-07-09,2026-08-07,Power BI
adzuna_5814303251,Machine Learning Engineer,"DPP Tech, Inc.",us,adzuna,108026.18,108026.18,2026-07-24,2026-08-07,Machine Learning
adzuna_5814303251,Machine Learning Engineer,"DPP Tech, Inc.",us,adzuna,108026.18,108026.18,2026-07-24,2026-08-07,Azure
adzuna_5819875703,Senior Power BI Developer,Visionaire Partners,us,adzuna,92376.16,92376.16,2026-07-29,2026-08-07,Power BI
adzuna_5820059538,Tableau / Power BI Developer,Futuremindz llc,us,adzuna,82679.68,82679.68,2026-07-29,2026-08-07,Power BI
adzuna_5820059538,Tableau / Power BI Developer,Futuremindz llc,us,adzuna,82679.68,82679.68,2026-07-29,2026-08-07,Tableau
adzuna_5828109763,Sr. Power BI Developer,"ScrumLink, Inc.",us,adzuna,93693.62,93693.62,2026-08-04,2026-08-07,Power BI
adzuna_5828109763,Sr. Power BI Developer,"ScrumLink, Inc.",us,adzuna,93693.62,93693.62,2026-08-04,2026-08-07,SQL
adzuna_5831836335,Tableau Developer,Unicon Pharma Inc,us,adzuna,103505.84,103505.84,2026-08-07,2026-08-07,R
